CT_TOX,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0,-0.2608980348552143,-0.14866754605467883,1.571777645414821,-1.2188418270210744,-0.4415677913432764,0.4641111196009333,-0.1391739204886391,-0.31477758688158547,0.6377743722127917,0.42421418948693873
0,-0.47346832951390755,-1.8650555944461462,-0.009074559943260297,0.22037819091011268,-0.6878462093245945,-0.8372036966206722,0.08226699293926984,-0.07773953291477681,-0.07381071313541938,0.06416554412293468
0,-0.5567370879921453,-1.1246271147700668,1.4950416745061172,-0.5652532289145237,0.11576432025047077,-1.0509507826196,0.21680875389761484,-0.1450303056573998,-0.056246941402752146,-0.5625244340646436
0,-0.0832084843399058,-0.6565168842006724,0.2495849231327805,0.21732552414588044,-0.3993375156880346,-0.41432690011907203,-0.40409529737330324,0.32792522733314466,-0.56162637566761,-0.32178057341400157
0,-0.8592029486667401,-0.6529413556329073,0.12708419160652168,-0.45781068172384604,-0.40874067053956875,0.9230200043139551,-0.3367657060714782,0.017717314458826888,0.06773979325275555,0.6058105626299614
0,-0.5973120389571566,-1.8325834119079683,0.6547873989037398,0.16948186467251028,-0.11718713124162067,-1.0016842989550472,0.02170948746618273,-0.25642911262057294,-0.07324860069094141,-0.1685350922499853
0,-0.6058551946779202,-1.891696909367661,0.3083106985372495,0.05512104278236832,-0.4493805899113741,-0.804984722875197,-0.04822403352351332,-0.1480829939291536,0.03455756248164656,-0.04264681658817445
0,-0.6090523663070861,-1.8551692608225503,0.568891496986625,0.11818955089629116,-0.24602336853534168,-0.928069069823415,0.031178535791002847,-0.26849480673764703,-0.012449704950651008,-0.23322252402953444
0,-0.5877462585699593,-1.8320313534496375,0.6715209930537454,0.21486309425993302,-0.2634619957992297,-0.8306796681891454,-0.1566556757954242,-0.22945138112701025,0.16498678473654277,-0.2978542479613827
0,-0.5499570567493921,-1.8338643276992665,0.5986632526175277,0.22517355339531,-0.20904797303669126,-0.7981657574295731,-0.012423717801059409,-0.2937652818273008,-0.1638587050021986,-0.514734725851442
0,-0.40708536100683473,-1.8399068950664434,0.568661852260542,0.20905356664886107,-0.1958242765944835,-0.7711692758007378,-0.03932936608591172,-0.2024406435917406,-0.15736530267658563,-0.5722748313283484
1,-0.7062796967585119,-2.0347802386228175,0.12076545000475172,0.024094729591034945,-0.59885790756109,-0.8340049914668707,0.018243915559848566,-0.09248349757154586,-0.04613990119950046,0.13246088077232498
0,-1.3817213298424424,1.698385974558432,0.6276314059857283,-1.0613330310441578,-0.5397136731094716,-0.09430874239728972,-0.8465103396788719,0.9692970202840433,-0.6003006513303285,-0.3389583441834546
1,-1.3817213298424424,1.698385974558432,0.6276314059857283,-1.0613330310441578,-0.5397136731094715,-0.09430874239728973,-0.8465103396788718,0.9692970202840439,-0.6003006513303287,-0.33895834418345466
1,-0.9720342978711441,0.3952508304241708,0.5230877195529209,-0.47048051709825417,-0.3683993675621296,0.5676838295203512,-0.7261379268514676,-0.25457404952970675,-0.2357120087351979,-0.9178089730759214
0,0.521038712059674,-1.1397292632339882,0.4364595594489815,-0.2622950442526212,-0.2836890610315707,-0.637471366463091,0.05366209348200737,-0.713927762499734,0.00012722208119812697,-0.05021948487741771
0,-0.27854021647407434,-0.38792392033815276,-1.3915207250760768,-0.33147950588854996,-0.2697434032392385,-0.9388249859022728,0.25410216646472283,0.11360514249967464,-0.3529103548311741,0.32327647682179195
0,-1.0630692129342107,0.6689614723227765,1.9973928126297764,0.3389343196302617,-0.009664712672424514,0.1970866724046728,-1.3811920954413988,0.2673098735884802,0.12245500527074843,-0.43501837722759806
0,-0.7048470307377124,-2.0553014314887292,0.09968348564684401,0.05432763523076199,-0.6203275735702312,-0.7874377105036495,0.010662475076564357,-0.09945954089715994,-0.08071093405398092,0.18478955486900583
0,-0.5539783340092574,-1.9045012821323744,0.3117012457806019,0.12628018022927096,-0.4275458267060839,-0.8005210806105426,-0.13235024162911274,-0.2252296790821429,-0.016506962262113314,0.029019225519656376
0,-0.039503820168246044,-0.6000902315020625,0.8677776433581501,-0.00701202270527909,-0.6389678684007202,-0.46782219219258936,0.606469933541428,0.46239571560818904,-0.21957674820587622,-0.3712769431441554
0,-0.5187610918128752,-1.1042597195241324,1.6940102713572665,-0.5185571520849286,-0.10368516169886523,-0.8512739488851413,0.21350681402554408,-0.1580112053108322,0.35693770962667,-0.3440282044625163
0,0.8280849764521254,-1.278892100095914,0.4821243493858644,0.5075657154222355,-1.7160133266714628,0.6018869987492033,1.1319309500633965,1.1722313651988359,-0.3084275862529708,-0.5404061009895788
0,0.4282389813516814,-1.378567198670344,0.6443976111855051,0.32989753869135874,-0.91549315871117,0.4272110445086685,0.8084094720885168,0.23655724539960749,-0.11824962288823448,-0.5888653578593115
