SHAP_feat,SHAP_feat_ratio,Corr_js_corr_matrix,Corr_dcor_matrix,Corr_wd_corr_matrix,DCC_dcor_matrix,DCC_pearson_matrix,SHAP_feat_trans
0.0314963954196357,0.2974314951116919,0.3131472952951804,0.1350728415269315,0.5275149519648626,1.0,1.0,-3.4578821708209664
0.0277628824407978,0.2621746242056846,0.5282646730348248,0.3775832983584737,0.5680634830826239,1.0,0.9285714285714286,-3.584055314411256
0.0368631294166451,0.34811144420841,0.3207974929900404,0.1751857199080812,0.437984617945836,1.0,0.9285714285714286,-3.3005434302725063
0.0266466189743785,0.2516333572660185,0.3901848666293204,0.2534825188567564,0.420690415463325,1.0,0.9285714285714286,-3.6250930041718297
0.0090973822693905,0.0859097675761503,0.5470216878294872,0.0745588523111776,0.9023497592767284,1.0,1.0,-4.699768569546525
0.0111480785188628,0.1052752106173,0.5752799404963742,0.0644067389442469,0.4366255112750274,1.0,1.0,-4.496488126073389
0.0018084724150822,0.0170780385221739,0.5080746838649717,0.0192927042356484,1.1712918281304798,1.0,1.0,-6.315272759615073
0.0284179146890275,0.2683603231830306,0.4756067907827186,0.3775832983584796,0.5704160043712335,1.0,0.9285714285714286,-3.5607355337755626
0.056032809342011,0.5291374468683718,0.4921523049876716,0.4063442921843742,0.6214623643985975,1.0,0.9285714285714286,-2.881817878700978
0.0218979294563194,0.2067898186845527,0.5130582762829521,0.2293448679497592,0.9015219745033238,1.0,0.9285714285714286,-3.821363192002921
0.054463065368247,0.5143138046439626,0.6878845966310764,0.3195312336741226,0.7441767127099119,1.0,1.0,-2.910232506720353
0.0330742181533685,0.3123314278964704,0.567119601191363,0.25927240447686,0.5035514985074628,1.0,1.0,-3.409001207858594
0.1058946209035736,1.0,0.590666860194913,0.4262147604538671,0.5879256042087724,0.9285714285714286,0.6428571428571429,-2.245310821776516
0.0316898590247821,0.3195636472585537,0.3143073525170242,0.1425967020260971,0.5083011777989959,0.9285714285714286,0.8571428571428571,-3.4517585538602944
0.0275876782144171,0.2781968535328666,0.5103011519075609,0.3392593402529983,0.5782495135351287,0.6428571428571429,0.4285714285714285,-3.590386047450339
